country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Ghana,2023,27.227052545155995,73.45345853858785,0.2317107963875205,10.39109708538588,73.55722569048702,1.691312964663121,1.4980741465738254,2.771612568618332,0.3972,384168.8293948913,130617.40199426311,253551.42740062825,0.0,242965.44187952467,0.0,130617.40199426311,0.0,Desert
Guinea,2022,24.016728855721393,71.53746890547264,0.42020833333333335,5.442957089552239,67.68957446294253,1.661726879044745,1.380529969550487,5.322087227722773,0.3972,60556.39029276512,40238.12776032417,20318.26253244092,0.0,0.0,0.0,40238.12776032417,0.0,Savana
Guinea,2023,25.880923730842913,65.1683129789272,0.3620869252873563,6.7673221982758625,68.51339600863248,1.666193833838017,1.396189187685508,5.322087227722773,0.3972,60556.39029276512,40238.12776032417,20318.26253244092,0.0,0.0,0.0,40238.12776032417,0.0,Savana
Kenya,2022,20.15567993366501,69.46797263681592,0.12514251658374792,9.83206364013267,61.08360386267849,1.6180056626134403,1.2762691566685185,3.1775829867641403,0.258,250193.50726221368,226488.8676410326,19720.666575604428,0.0,0.0,0.0,226488.8676410326,0.0,Savana
Kenya,2023,20.641187739463604,68.20908165708812,0.181065313697318,10.194043342911877,61.41609198311905,1.6193678294798515,1.2837772126631162,3.1775829867641403,0.258,250193.50726221368,226488.8676410326,19720.666575604428,0.0,0.0,0.0,226488.8676410326,0.0,Savana
Lesotho,2022,17.48662935323383,49.82255389718076,0.1624030887230514,11.220372097844113,51.66738271752322,1.5269621845744614,1.2050971340700045,5.3374281,0.252,9262.737330965718,4979.966306970816,0.0,0.0,0.0,0.0,4979.966306970816,0.0,Steppe
Lesotho,2023,14.179148706896552,50.49419300766284,0.10682291666666667,9.652442528735632,47.12882857506956,1.4623934494414692,1.2265674354005005,5.3374281,0.252,9262.737330965718,4979.966306970816,0.0,0.0,0.0,0.0,4979.966306970816,0.0,Steppe
Liberia,2022,24.81110963041933,79.61718194740583,0.3838957000710732,7.565756041222459,71.4887404085471,1.684189356955708,1.447722912348963,5.3374281,0.3972,13488.59445430952,9049.31020352411,4439.284250785412,0.0,0.0,0.0,9049.31020352411,0.0,Desert
Liberia,2023,25.942803263546796,79.02078201970443,0.42488582717569784,8.577262931034483,73.18184203180711,1.6903521425988428,1.488041515352965,5.3374281,0.3972,13488.59445430952,9049.31020352411,4439.284250785412,0.0,0.0,0.0,9049.31020352411,0.0,Desert
Libya,2022,22.168028606965176,56.15901741293532,0.011692786069651741,15.617941542288557,61.050803259677025,1.616057155492811,1.2804197252606506,1.411106561191252,0.3972,272687.4562018219,87.59635599159077,265154.1695865453,0.0,188156.9726699369,0.0,87.59635599159077,0.0,Desert
