country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Niger,2022,11,26.690454545454546,15.563383838383839,0.0,17.020075757575757,54.10643098209446,1.5589837986217918,1.2007793955400123,2.1740000000000004,0.17,168665482.8575331,4302690.889222785,63679825.160497196,18071301.734735683,5163229.067067338,0.0,4302690.889222785,0.0,Savana
Niger,2022,12,24.063563049853375,16.994868035190617,0.0,19.838062072336268,51.490956729031986,1.531009266405203,1.1882526224472931,2.1740000000000004,0.17,174287665.61945087,4446113.918863544,65802485.999180436,18673678.459226873,5335336.702636249,0.0,4446113.918863544,0.0,Savana
Niger,2023,1,23.756085043988268,14.447702834799609,0.0,17.943817204301077,50.01957406393629,1.5130375196526458,1.1872292175318688,2.1740000000000004,0.17,174287665.61945087,4446113.918863544,65802485.999180436,18673678.459226873,5335336.702636249,0.0,4446113.918863544,0.0,Savana
Niger,2023,2,26.50602002164502,12.176542207792208,0.0,19.911214826839828,52.02702751450321,1.5363378986010034,1.1919122542049367,2.1740000000000004,0.17,157421117.33369756,4015844.8299412658,59434503.483130716,16866548.285753302,4819013.795929516,0.0,4015844.8299412658,0.0,Savana
Niger,2023,3,31.486229227761484,11.579789833822092,0.001466275659824047,16.157099217986318,56.76546119598342,1.5840756695635874,1.2225430839540443,2.1740000000000004,0.17,174287665.61945087,4446113.918863544,65802485.999180436,18673678.459226873,5335336.702636249,0.0,4446113.918863544,0.0,Savana
Niger,2023,4,33.39276515151515,13.618181818181819,0.000946969696969697,14.45645202020202,59.93505452022347,1.6094598437944807,1.260687608336273,2.1740000000000004,0.17,168665482.8575331,4302690.889222785,63679825.160497196,18071301.734735683,5163229.067067338,0.0,4302690.889222785,0.0,Savana
Niger,2023,5,35.25957966764419,22.116324535679375,0.0019672531769305964,14.151014173998044,66.87464727867739,1.6564267970790503,1.3674161258642812,2.1740000000000004,0.17,174287665.61945087,4446113.918863544,65802485.999180436,18673678.459226873,5335336.702636249,0.0,4446113.918863544,0.0,Savana
Niger,2023,6,33.244128787878786,38.79911616161616,0.058263888888888886,16.136363636363637,71.95507795637458,1.685911530402434,1.4587613350740194,2.1740000000000004,0.17,168665482.8575331,4302690.889222785,63679825.160497196,18071301.734735683,5163229.067067338,0.0,4302690.889222785,0.0,Savana
Niger,2023,7,32.112035679374394,43.750366568914956,0.0825085532746823,15.303128054740958,72.1941410175642,1.687443939828088,1.4626687344259208,2.1740000000000004,0.17,174287665.61945087,4446113.918863544,65802485.999180436,18673678.459226873,5335336.702636249,0.0,4446113.918863544,0.0,Savana
Niger,2023,8,29.24715909090909,57.60378787878788,0.40196022727272723,14.882973484848486,72.57919424864468,1.6906397251353364,1.467000615332851,2.1740000000000004,0.17,112443655.23835541,2868460.5928151896,42453216.7736648,12047534.489823788,3442152.711378225,0.0,2868460.5928151896,0.0,Savana
